frame_index,timestamp_sec,face_detected,ear,smoothed_ear,eye_closed,blink_frame,blink_event,blink_count_so_far
0,0.0,True,0.27356324179641106,0.27356324179641106,False,False,False,0
1,0.016666666666666666,True,0.28327646003701434,0.27841985091671273,False,False,False,0
2,0.03333333333333333,True,0.2739647496379982,0.27693481715714124,False,False,False,0
3,0.05,True,0.2801565667556256,0.2791325921435461,False,False,False,0
4,0.06666666666666667,True,0.2834025445265619,0.27917462030672857,False,False,False,0
5,0.08333333333333333,True,0.2745310843780919,0.27936339855342646,False,False,False,0
6,0.1,True,0.2725484553609863,0.2768273614218801,False,False,False,0
7,0.11666666666666667,True,0.2765522756806745,0.27454393847325087,False,False,False,0
8,0.13333333333333333,True,0.2818482035541848,0.2769829781986152,False,False,False,0
9,0.15,True,0.2781271875765988,0.2788425556038194,False,False,False,0
10,0.16666666666666666,True,0.2732637057386236,0.27774636562313576,False,False,False,0
11,0.18333333333333332,True,0.2693522098568451,0.2735810343906892,False,False,False,0
12,0.2,True,0.27406330785859323,0.2722264078180206,False,False,False,0
13,0.21666666666666667,True,0.26839907325388535,0.2706048636564412,False,False,False,0
14,0.23333333333333334,True,0.2863238299124944,0.2762620703416577,False,False,False,0
15,0.25,True,0.27424154826424824,0.2763214838102093,False,False,False,0
16,0.26666666666666666,True,0.2728803458843445,0.2778152413536957,False,False,False,0
17,0.2833333333333333,True,0.29003157642168376,0.2790511568567588,False,False,False,0
18,0.3,True,0.27743470251133645,0.2801155416057883,False,False,False,0
19,0.31666666666666665,True,0.2891151144687222,0.28552713113391415,False,False,False,0
20,0.3333333333333333,True,0.28579595185305573,0.2841152562777048,False,False,False,0
21,0.35,True,0.2821739866810415,0.28569501766760647,False,False,False,0
22,0.36666666666666664,True,0.29199345313317604,0.2866544638890911,False,False,False,0
23,0.38333333333333336,True,0.28347100157687366,0.2858794804636971,False,False,False,0
24,0.4,True,0.2868254459444989,0.2874299668848495,False,False,False,0
25,0.4166666666666667,True,0.28799628355532636,0.2860975770255663,False,False,False,0
26,0.43333333333333335,True,0.29061247344586805,0.28847806764856443,False,False,False,0
27,0.45,True,0.2857402848983537,0.28811634729984936,False,False,False,0
28,0.4666666666666667,True,0.28736174228437394,0.2879048335428652,False,False,False,0
29,0.48333333333333334,True,0.28214060625120885,0.28508087781131214,False,False,False,0
